scientific_name,common_name,taxa
Alces alces,Moose,mammals
Anas americana,American wigeon,birds
Anas clypeata,Northern shoveler,birds
Anas crecca,Common teal,birds
Anas cyanoptera,Cinnamon teal,birds
Anas platyrhynchos,Mallard,birds
Anas strepera,Gadwall,birds
Antilocapra americana,Pronghorn,mammals
Aquila chrysaetos,Golden eagle,birds
Ardea alba,Great egret,birds
Canis latrans,Coyote,mammals
Cervus elaphus,Elk,mammals
Circus cyaneus,Northern harrier,birds
Corvus corax,Common raven,birds
Haliaeetus leucocephalus,Golden eagle,birds
Lynx rufus,Bobcat,mammals
Odocoileus hemionus,Mule deer,mammals
Odocoileus virginianus,White-tailed deer,mammals
Ovis canadensis,Big-horned sheep,mammals
Puma concolor,Cougar,cougar
Ursus americanus,Black bear,mammals
Ursus arctos,Brown bear,mammals
Anas acuta,Northern pintail,birds
Anas discors,Blue-winged teal,birds
Anser albifrons,GWF goose,birds
Anser caerulescens,Snow goose,birds
Chen rossii,Ross's goose,birds
Grus canadensis,Sandhill crane,birds
